Row Labels,Code,30-Jan,2-Feb,3-Feb,14-Feb,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,,,,,,,,,,,,,,,,
Kerala,KL,1,2,3,3,3,3,3,3,3,3,8,9,17,17,19,22,22,24,27,27,27,28,40,52,67,95,109,118,137,176,182,202,234,241,265,286,295,306,314,327,336,345,357,364,374,376,379,387,388,395,396,400,402,408,427,438,448,451,458,469,482,486,496,498,498,500,500,500,503,503,503,504,506,513,520,525,535,561,577,588,602,631,643,667,691,733,795,848,897,964,1004,1089,1151,1209,1270,1327,1413,1495,1589,1700,1808,1915,2006,2097,2162,2245,2323,2408,2462,2544,2623,2698,2795,2913,3040,3173,3311,3452,3604,3727,3877,4072,4190,4312,4443,4594,4754,4965,5205,5430,5623,5895,6196,6535,6951,7439,7874,8323,8931,9554,10276,11067,11660,12481,13275,13995,15033,16111,16996,18099,19026,19728,20895,21798,22304,23614,24743,25912,26873,27956,29151,30449,31700,33120,34331,35515,36932,38144,39708,41277,42885,44415,46140,47898,50231,52199,54182,56354,58262,59504,61879,64355,66761,69304,71701,73855,75385,72699.98136,74675.22101,76684.17257,78727.1074,80804.29686,82916.01233,85062.52517,87244.10675,89461.02844,91713.5616,94001.9776,96326.54781,98687.54359,101085.2363,,,,,,,,,,,,,,,,
Madhya Pradesh,MP,,,,,,,,,,,,,,,,,,,,,,,4,4,6,6,7,15,20,29,39,39,47,66,98,107,154,179,193,256,290,341,411,451,529,562,614,741,938,1164,1310,1402,1407,1485,1552,1587,1687,1846,1945,2090,2165,2387,2560,2625,2715,2788,2837,2942,3049,3138,3252,3341,3457,3614,3785,3986,4173,4426,4595,4790,4977,5236,5465,5735,5981,6170,6371,6665,6859,7024,7261,7453,7645,7891,8089,8283,8420,8588,8762,8996,9228,9401,9638,9849,10049,10241,10443,10641,10802,10935,11083,11244,11426,11582,11724,11903,12078,12261,12448,12595,12798,12965,13186,13370,13593,13861,14106,14297,14604,14930,15284,15627,16036,16341,16657,17201,17632,18207,19005,19643,20378,21082,21763,22600,23310,24095,24842,25474,26210,26926,27800,28589,29217,30134,30968,31806,32614,33535,34285,35082,35734,36564,37298,38157,39025,39891,40734,41604,42618,43414,44433,45455,46385,47375,48351,49493,50640,51866,53129,54421,55800,56864,58181,59433,60875,62433,63965,62949.80902,64174.68998,65416.3913,66675.03184,67950.73044,69243.60596,70553.77724,71881.36315,73226.48253,74589.25424,75969.79712,77368.23004,78784.67183,80219.24137,,,,,,,,,,,,,,,,
Maharashtra,MH,,,,,,,,,,,,2,5,11,14,17,26,32,39,41,45,48,52,64,74,89,107,122,125,153,181,203,220,302,335,423,487,635,747,868,1018,1135,1364,1574,1761,1982,2334,2680,2916,3201,3321,3648,4200,4666,5218,5649,6427,6817,7628,8068,8590,9318,9915,10498,11506,12296,12974,14541,15525,16758,17974,19063,20228,22171,23401,24427,25922,27524,29100,30706,33053,35058,37136,39297,41642,44582,47190,50231,52667,54758,56948,59546,62228,65168,67655,70013,72300,74860,77793,80229,82968,85975,88529,90787,94041,97648,101141,104568,107958,110744,113445,116752,120504,124331,128205,132075,135796,139010,142899,147741,152765,159133,164626,169883,174761,180298,186626,192990,200064,206619,211987,217121,223724,230599,238461,246600,254427,260924,267665,275640,284281,292589,300937,310455,318695,327031,337607,347502,357117,366368,375799,383723,391440,400651,411798,422118,431719,441228,450196,457956,468265,479779,490262,503084,515332,524513,535601,548313,560126,572734,584754,595865,604358,615477,628642,643289,657450,671942,682383,693398,703823,718711,733568,747995,764281,780689,792541,811979.135,827286.6939,842786.1119,858478.5861,874365.3133,890447.4904,906726.3142,923202.9817,939878.6898,956754.6353,973832.0152,991112.0263,1008595.866,1026284.73,,,,,,,,,,,,,,,,
Manipur,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,7,7,7,9,25,25,26,29,32,36,39,44,55,59,60,71,83,89,108,124,132,157,172,272,304,311,366,385,449,458,490,500,552,606,681,777,841,898,921,970,1056,1075,1092,1185,1227,1234,1260,1279,1316,1325,1366,1390,1430,1435,1450,1582,1593,1609,1626,1672,1700,1764,1800,1891,1911,1925,2015,2060,2115,2146,2176,2235,2286,2317,2458,2505,2621,2756,2831,2920,3018,3093,3217,3466,3635,3753,3853,3941,3982,4112,4198,4390,4569,4687,4765,4876,4925,5049,5132,5246,5362,5444,5585,5725,5843,5960,6112,6252,6352.130945,6490.634211,6631.101248,6773.545644,6917.98099,7064.420874,7212.878888,7363.36862,7515.903659,7670.497597,7827.164021,7985.916523,8146.768691,8309.734115,,,,,,,,,,,,,,,,
Meghalaya,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,9,9,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,15,20,20,21,27,27,27,28,30,33,33,33,33,36,39,43,44,44,44,44,44,44,44,43,43,43,43,43,45,46,46,46,48,48,50,51,53,55,58,62,70,72,88,94,100,113,186,262,295,316,318,337,377,403,418,450,469,490,514,534,587,646,702,738,779,784,803,823,856,874,902,917,939,990,1006,1023,1062,1115,1142,1179,1193,1228,1292,1374,1418,1457,1535,1661,1718,1811,1917,1976,2018,2050,2130,2240,2283,2343,2368,2335.780171,2399.829093,2464.970682,2531.213705,2598.566928,2667.039117,2736.639037,2807.375454,2879.257135,2952.292845,3026.491351,3101.861417,3178.41181,3256.151296,,,,,,,,,,,,,,,,
Mizoram,MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,17,24,24,34,42,88,93,102,104,110,112,117,121,121,130,130,140,141,142,142,145,145,147,150,151,151,160,160,162,162,164,186,197,198,203,203,226,227,231,233,238,238,272,282,284,284,297,297,317,326,332,361,361,361,384,395,408,408,413,470,496,502,505,538,559,567,608,620,623,648,649,657,713,777,789,815,860,874,895,903,918,918,953,967,974,1003,1003,1008,1011,1050.152381,1065.663095,1081.17381,1096.684524,1112.195238,1127.705952,1143.216667,1158.727381,1174.238095,1189.74881,1205.259524,1220.770238,1236.280952,1251.791667,,,,,,,,,,,,,,,,
Nagaland,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,18,25,36,43,43,49,58,80,107,107,116,122,127,128,130,156,163,173,177,179,193,193,198,201,211,280,330,347,355,371,387,415,451,459,501,535,539,563,590,625,644,657,673,732,748,774,845,896,902,916,956,978,988,1021,1030,1084,1174,1239,1289,1339,1385,1460,1513,1566,1693,1831,1935,2129,2405,2498,2580,2657,2688,2781,3011,3031,3118,3168,3322,3340,3394,3455,3520,3558,3583,3619,3635,3686,3714,3752,3778,3784,3805,3851,3922,3950,3965.6,3997.945455,4030.290909,4062.636364,4094.981818,4127.327273,4159.672727,4192.018182,4224.363636,4256.709091,4289.054545,4321.4,4353.745455,4386.090909,,,,,,,,,,,,,,,,
Odisha,OR,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,20,21,39,40,42,42,48,50,54,54,55,60,60,60,60,61,61,74,79,83,89,94,100,103,118,118,125,143,154,160,162,169,177,205,219,270,352,377,415,437,538,672,737,737,828,876,978,1052,1103,1189,1269,1336,1438,1517,1593,1660,1723,1819,1948,2104,2245,2388,2478,2608,2781,2856,2994,3140,3250,3386,3498,3723,3909,4055,4163,4338,4512,4677,4856,5160,5303,5470,5752,5962,6180,6350,6614,6859,7065,7316,7545,8106,8601,9070,9526,10097,10624,11201,11956,12526,13121,13737,14280,14898,15392,16110,16701,17437,18110,18757,19835,21099,22693,24013,25389,26892,28107,29175,30378,31877,33479,34913,36297,37681,39018,40717,42550,44193,45927,47455,48796,50672,52653,54630,57126,60050,62294,64533,67122,70020,72718,75537,78530,81479,84231,87602,90986,94668,97920,100934,103536,97675.24211,100285.2307,102939.2314,105637.5956,108380.6748,111168.8203,114002.3837,116881.7164,119807.1698,122779.0955,125797.8447,128863.769,131977.2198,135138.5486,,,,,,,,,,,,,,,,
Puducherry,PY,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,12,12,12,13,16,16,17,17,17,22,23,23,26,26,41,49,49,49,53,57,57,70,79,79,90,99,104,107,119,128,132,144,157,163,176,194,202,216,245,271,287,338,366,383,402,461,502,534,619,648,690,714,739,802,824,904,946,1011,1041,1151,1200,1272,1337,1418,1468,1531,1596,1743,1832,1890,1999,2092,2179,2300,2420,2515,2654,2787,2872,3011,3177,3298,3472,3606,3806,3982,4147,4433,4621,4862,5123,5382,5624,5900,6381,6680,6995,7354,7732,8029,8396,8752,9292,9594,10112,10522,10859,11426,11930,12434,13024,13556,14127,14411,14886.33333,15313.83333,15741.33333,16168.83333,16596.33333,17023.83333,17451.33333,17878.83333,18306.33333,18733.83333,19161.33333,19588.83333,20016.33333,20443.83333,,,,,,,,,,,,,,,,
Punjab,PB,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,3,13,21,23,29,31,33,38,38,38,41,42,46,47,53,65,68,79,99,106,130,151,158,170,176,184,186,197,211,234,244,245,251,278,283,298,308,322,330,342,375,480,585,772,1102,1232,1451,1526,1644,1731,1762,1823,1877,1914,1924,1935,1932,1946,1964,1980,2002,2005,2028,2029,2045,2060,2081,2106,2139,2158,2197,2233,2263,2301,2342,2376,2415,2461,2515,2608,2663,2719,2805,2887,2986,3063,3140,3267,3371,3497,3615,3832,3952,4074,4235,4397,4627,4769,4957,5056,5216,5418,5568,5668,5784,5937,6109,6283,6491,6749,6907,7140,7357,7587,7821,8178,8511,8799,9094,9442,9792,10100,10510,10889,11301,11739,12216,12684,13218,13769,14378,14946,15456,16119,17063,17853,18527,19015,19856,20891,21930,22928,23903,24889,25889,26909,27936,29013,30041,31206,32695,34400,36083,37824,39327,40643,41779,43284,44577,46090,47836,49378,50848,52526,53992,55599.33333,57171.33333,58743.33333,60315.33333,61887.33333,63459.33333,65031.33333,66603.33333,68175.33333,69747.33333,71319.33333,72891.33333,74463.33333,76035.33333,,,,,,,,,,,,,,,,
Rajasthan,RJ,,,,,,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,7,9,17,24,29,32,32,38,43,50,54,59,79,93,120,133,179,206,266,301,343,383,463,561,700,804,897,1005,1076,1131,1229,1351,1478,1576,1735,1888,1964,2034,2083,2185,2262,2364,2440,2584,2666,2772,2886,3061,3158,3317,3427,3579,3708,3814,3988,4126,4328,4534,4747,4960,5202,5507,5845,6015,6227,6494,6742,7028,7300,7536,7816,8067,8365,8617,8831,9100,9373,9652,9862,10084,10337,10599,10876,11245,11600,11838,12068,12401,12694,12981,13216,13542,13857,14156,14537,14930,15232,15627,16009,16296,16660,16944,17271,17660,18008,18312,18662,19052,19532,20164,20688,21404,22063,22563,23174,23748,24392,24936,25571,26437,27174,27789,28500,29434,30390,31373,32334,33220,34178,35298,36430,37564,38636,39780,40936,42083,43243,44410,45555,46679,47845,48996,50157,51328,52497,53670,54887,56100,57414,58692,59979,61296,62630,63977,65289,66619,67954,69264,70609,71955,73325,74670,76015,77370,78777,80227,81693,83561.14808,85184.21676,86829.0638,88495.83793,90184.68791,91895.76249,93629.21043,95385.18047,97163.82138,98965.28189,100789.7108,102637.2568,104508.0686,106402.2951,,,,,,,,,,,,,,,,
Sikkim,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,7,7,7,13,13,13,63,63,68,68,68,70,70,70,70,78,78,79,83,85,87,87,88,88,88,89,101,102,103,125,125,127,133,134,121,147,151,153,198,209,222,254,273,283,305,330,438,460,477,499,545,555,579,596,610,639,650,658,688,783,800,829,854,860,866,910,913,930,931,1080,1148,1167,1187,1207,1232,1290,1336,1381,1403,1446,1475,1486,1542,1576,1602,1627,1652,1745.591013,1791.903125,1838.983594,1886.838448,1935.473716,1984.895426,2035.109607,2086.122287,2137.939496,2190.567262,2244.011613,2298.278578,2353.374186,2409.304465,,,,,,,,,,,,,,,,
Tamil Nadu,TN,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,9,12,18,26,29,38,42,50,67,124,234,309,411,485,571,621,690,738,834,911,969,1075,1173,1204,1242,1267,1323,1372,1477,1520,1596,1629,1683,1755,1821,1885,1937,2058,2162,2323,2526,2757,3023,3550,4058,4829,5409,6009,6535,7204,8002,8718,9227,9674,10108,10585,11224,11760,12448,13191,13967,14753,15512,16277,17082,17728,18545,19372,20246,21184,22333,23495,24586,25872,27256,28694,30152,31667,33229,34914,36841,38716,40698,42687,44661,46504,48019,50193,52334,54449,56845,59377,62087,64603,67468,70977,74622,78335,82275,86224,90167,94049,98392,102721,107001,111151,114978,118594,122350,126581,130261,134226,138470,142798,147324,151820,156369,160907,165714,170693,175678,180643,186492,192964,199749,206737,213723,220716,227688,234114,239978,245859,251738,257613,263222,268285,273460,279144,285024,290907,296901,302815,308649,314520,320355,326245,332105,338055,343945,349654,355449,361435,367430,373410,379385,385352,391303,397261,403242,409238,415590,422085,428041,459990.4341,468841.1209,477802.0975,486874.0324,496057.5945,505353.4524,514762.2747,524284.7301,533921.4873,543673.2149,553540.5815,563524.256,573624.9068,583843.2028,,,,,,,,,,,,,,,,
Telangana,TG,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,13,16,19,21,27,33,39,41,45,59,67,70,77,97,127,154,229,272,334,364,404,453,471,487,503,531,592,644,650,700,766,809,858,872,928,943,970,983,990,1001,1003,1009,1016,1038,1044,1061,1082,1085,1096,1107,1122,1132,1163,1196,1275,1326,1367,1414,1454,1509,1551,1592,1634,1661,1699,1761,1813,1854,1920,2032,2139,2256,2425,2499,2698,2792,2891,3020,3147,3290,3496,3650,3742,3920,4111,4320,4484,4737,4974,5193,5406,5675,6027,6526,7072,7802,8674,9553,10444,11364,12349,13436,14419,15394,16339,17357,18570,20462,22312,23902,25733,27612,29536,30946,32224,33402,34671,36221,37745,39342,41018,42496,43780,45076,46274,47704,49259,50826,52466,54059,54059,55532,57142,58906,60717,62703,64786,66677,67660,68946,70958,73050,75257,77513,79495,80751,82647,84544,86475,88396,90259,91361,92255,93937,95700,97424,99391,101865,104249,106091,108670,111688,114483,117415,120166,123090,124963,131328.0156,134187.571,137087.3815,140027.7226,143008.8694,146031.0974,149094.6817,152199.8978,155347.0209,158536.3264,161768.0895,165042.5856,168360.09,171720.878,,,,,,,,,,,,,,,,
Tripura,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,17,30,43,65,89,119,136,152,152,154,155,156,156,167,165,165,173,173,175,175,191,194,198,232,242,244,254,271,316,423,471,622,646,694,749,802,840,866,897,922,963,1046,1079,1089,1090,1133,1154,1181,1189,1224,1240,1263,1263,1295,1330,1339,1351,1385,1393,1401,1440,1533,1558,1581,1692,1716,1773,1789,1931,1962,2067,2093,2183,2281,2379,2497,2668,2891,3093,3345,3471,3677,3777,3882,3919,4066,4287,4503,4722,4996,5248,5389,5389,5520,5642,5740,5868,6014,6161,6223,6387,6497,6618,6782,6949,7076,7219,7424,7660,7850,8106,8386,8717,8917,9210,9539,9924,10433,10876,11323,11644,12139,12572,13005,13438,13871,14304,14737,15170,15603,16036,16469,16902,17335,17768,,,,,,,,,,,,,,,,
Uttar Pradesh,UP,,,,,,,7,8,8,8,8,10,10,10,12,13,13,13,13,15,17,20,24,28,30,34,35,38,42,49,65,72,96,104,117,128,174,234,278,305,332,361,410,433,452,483,558,660,735,805,849,975,1100,1184,1337,1449,1510,1621,1793,1873,1986,2053,2134,2211,2328,2487,2645,2766,2880,2998,3071,3214,3373,3467,3573,3664,3758,3902,4057,4258,4464,4605,4926,5175,5515,5735,6017,6268,6497,6724,6991,7170,7445,7701,8075,8361,8729,8870,9237,9733,10103,10536,10947,11335,11610,12088,12616,13118,13615,14091,14598,15181,15785,16594,17135,17731,18322,18893,19557,20193,20943,21549,22147,22828,23492,24056,24825,25797,26554,27707,28636,29968,31156,32362,33700,35092,36476,38130,39724,41383,43441,45163,47036,49247,51160,53288,55588,58104,60771,63742,66988,70493,73951,77334,81039,85461,89048,92921,97362,100310,104388,108974,113378,118038,122609,126722,131763,136238,140775,145287,150061,154418,158216,162434,167510,172334,177239,182456,187781,192382,197388,203028,208419,213824,219457,225632,230414,231304.4772,237106.7186,243003.0839,248994.3064,255081.1197,261264.2573,267544.4525,273922.4389,280398.9499,286974.719,293650.4797,300426.9654,307304.9096,314285.0457,,,,,,,,,,,,,,,,
Uttarakhand,UT,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,3,4,4,5,5,5,6,7,7,7,7,10,16,22,26,31,31,35,35,35,35,35,35,37,37,37,40,42,44,46,46,46,47,48,48,51,51,54,55,57,57,59,60,60,61,61,61,63,67,68,68,69,72,78,82,91,92,96,111,126,145,153,244,317,349,400,469,500,716,749,907,959,1043,1085,1153,1215,1303,1355,1411,1537,1562,1655,1724,1785,1819,1845,1942,2023,2103,2177,2301,2344,2402,2535,2623,2691,2725,2791,2823,2831,2881,2947,2984,3048,3093,3124,3161,3230,3258,3305,3373,3417,3537,3608,3686,3785,3982,4102,4276,4515,4642,4849,5300,5445,5717,5961,6104,6328,6587,6866,7065,7183,7447,7593,7800,8008,8254,8623,8901,9402,9632,10021,10432,10886,11302,11615,11940,12175,12493,12961,13225,13636,14083,14566,15124,15529,16014,16549,17277,17865,18571,19235,19827,18456.46091,18889.3056,19328.82612,19775.07266,20228.0954,20687.94454,21154.67025,21628.32273,22108.95216,22596.60873,23091.34262,23593.20404,24102.24315,24618.51015,,,,,,,,,,,,,,,,
West Bengal,WB,,,,,,,,,,,,,,,,,,,,1,1,1,2,4,7,7,9,9,10,15,18,21,22,37,37,53,53,53,80,80,91,99,103,116,126,134,152,190,213,231,255,287,310,339,392,423,456,514,571,611,649,697,725,758,795,922,1198,1259,1344,1456,1548,1678,1786,1939,2063,2173,2290,2377,2461,2576,2677,2824,2961,3103,3197,3332,3459,3667,3816,4009,4192,4536,4813,5130,5501,5772,6168,6508,6876,7303,7738,8187,8613,8985,9328,9768,10244,10698,11087,11494,11909,12300,12735,13090,13531,13945,14358,14728,15173,15648,16190,16711,17283,17907,18559,19170,19819,20488,21231,22126,22987,23837,24823,25911,27109,28453,30013,31448,32838,34427,36117,38011,40209,42487,44769,47030,49321,51757,53973,56377,58718,60830,62964,65258,67692,70188,72777,75516,78232,80984,83800,86754,89666,92615,95554,98459,101390,104326,107323,110358,113432,116498,119578,122753,125922,129119,132364,135596,138870,141837,144801,147775,150772,153754,156766,159785,162778,170324.9806,174385.2899,178508.455,182694.9469,186945.2367,191259.7955,195639.0942,200083.6039,210593,215170,221813,227489.8333,231423.3333,235356.8333,,,,,,,,,,,,,,,,
